focus_id,focus_name,reading_order,series,issue_number,display_name,run_status,collection_status,format,metadata_arc,story_title,part_label,metadata_status,owned_original_issue_count,owned_facsimile_count,ordered_not_arrived_count,readable_copy_count,still_want_original,source_tab,source_row,comic,notes
knightfall_to_knightsend,Knightfall to Knightsend,Knight040,Batman,494,Batman #494,owned,Yes,Original/Reprint Unknown,Knightfall,,,Review,0,0,0,0,Review,Batman,60,Batman #494,
knightfall_to_knightsend,Knightfall to Knightsend,Knight041,Detective Comics,661,Detective Comics #661,owned,Yes,Original/Reprint Unknown,Knightfall,,,Review,0,0,0,0,Review,Batman,61,Detective Comics #661,
knightfall_to_knightsend,Knightfall to Knightsend,Knight042,Batman,495,Batman #495,owned,Yes,Original/Reprint Unknown,Knightfall,,,Review,0,0,0,0,Review,Batman,62,Batman #495,
knightfall_to_knightsend,Knightfall to Knightsend,Knight043,Detective Comics,662,Detective Comics #662,owned,Yes,Original/Reprint Unknown,Knightfall,,,Review,0,0,0,0,Review,Batman,63,Detective Comics #662,
knightfall_to_knightsend,Knightfall to Knightsend,Knight044,Batman,496,Batman #496,owned,Yes,Original/Reprint Unknown,Knightfall,,,Review,0,0,0,0,Review,Batman,64,Batman #496,
knightfall_to_knightsend,Knightfall to Knightsend,Knight045,Detective Comics,663,Detective Comics #663,owned,Yes,Original/Reprint Unknown,Knightfall,,,Review,0,0,0,0,Review,Batman,65,Detective Comics #663,
knightfall_to_knightsend,Knightfall to Knightsend,Knight046,Batman,497,Batman #497,owned,Yes,Original/Reprint Unknown,Knightfall,,,Review,0,0,0,0,Review,Batman,66,Batman #497,
knightfall_to_knightsend,Knightfall to Knightsend,Knight048,Detective Comics,664,Detective Comics #664,owned,Yes,Original/Reprint Unknown,Knightfall,,,Review,0,0,0,0,Review,Batman,68,Detective Comics #664,
knightfall_to_knightsend,Knightfall to Knightsend,Knight049,Showcase ’93,7,Showcase ’93 #7,owned,Yes,Original/Reprint Unknown,,,,,0,0,0,0,Review,Batman,69,Showcase ’93 #07,
knightfall_to_knightsend,Knightfall to Knightsend,Knight050,Showcase ’93,8,Showcase ’93 #8,owned,Yes,Original/Reprint Unknown,,,,,0,0,0,0,Review,Batman,70,Showcase ’93 #08,
knightfall_to_knightsend,Knightfall to Knightsend,Knight051,Batman,498,Batman #498,owned,Yes,Original/Reprint Unknown,Knightfall,,,Review,0,0,0,0,Review,Batman,71,Batman #498,
knightfall_to_knightsend,Knightfall to Knightsend,Knight052,Batman: Shadow of the Bat,16,Batman: Shadow of the Bat #16,owned,Yes,Original/Reprint Unknown,,,,,0,0,0,0,Review,Batman,72,Batman: Shadow of the Bat #16,
knightfall_to_knightsend,Knightfall to Knightsend,Knight053,Batman: Shadow of the Bat,17,Batman: Shadow of the Bat #17,owned,Yes,Original/Reprint Unknown,,,,,0,0,0,0,Review,Batman,73,Batman: Shadow of the Bat #17,
