story,owned_rows,not_owned_rows,mia_rows,uncertain_format_rows,sample_owned_rows
Legacy,7,7,0,7,Catwoman (Vol.2) #33; Catwoman (Vol.2) #34; Catwoman (Vol.2) #35; Batman #533; Catwoman (Vol.2) #36
Legend of the Dark Mite,1,0,0,1,Batman: Legends of the Dark Knight #38
Lifelines,4,0,0,4,Catwoman (Vol.2) #01; Catwoman (Vol.2) #02; Catwoman (Vol.2) #03; Catwoman (Vol.2) #04
Long Halloween,11,0,0,11,Batman The Last Halloween #00; Batman The Last Halloween #01; Batman The Last Halloween #02; Batman The Last Halloween #03; Batman The Last Halloween #04
Man-Bat (70s),2,0,0,2,Man-Bat (70s) #1; Man-Bat (70s) #2
Man-Bat (96),3,0,0,3,Man-Bat (96) 01; Man-Bat (96) 02; Man-Bat (96) 03
Mercy,1,0,0,1,Batman: Legends of the Dark Knight #37
Nun Better,1,0,0,1,Catwoman (Vol.2) #05
Pagan,1,0,0,1,Batman #479
Prey,5,0,0,5,Batman: Legends of the Dark Knight #11; Batman: Legends of the Dark Knight #12; Batman: Legends of the Dark Knight #13; Batman: Legends of the Dark Knight #14; Batman: Legends of the Dark Knight #15
Robin Reborn,12,0,0,12,Detective Comics #618; Detective Comics #619; Detective Comics #620; Detective Comics #621; Batman #455
Scarecrow,1,0,0,1,Batman #523
Shaman,5,0,0,5,Batman: Legends of the Dark Knight #01; Batman: Legends of the Dark Knight #02; Batman: Legends of the Dark Knight #03; Batman: Legends of the Dark Knight #04; Batman: Legends of the Dark Knight #05
Sleeper,2,0,0,2,Batman #516; Batman #517
Storm,1,0,0,1,Batman: Legends of the Dark Knight #58
Sword of Azrael,4,0,0,4,Sword of Azrael #1; Sword of Azrael #2; Sword of Azrael #3; Sword of Azrael #4
Terminus,1,0,0,1,Batman: Legends of the Dark Knight #64
The Boy Wonder,10,0,0,10,Batman & Robin: The Boy Wonder 01; Batman & Robin: The Boy Wonder 02; Batman & Robin: The Boy Wonder 03; Batman & Robin: The Boy Wonder 04; Batman & Robin: The Boy Wonder 05
The Many Deaths Of...,3,0,0,3,Batman #433; Batman #434; Batman #435
The Mud Pack,4,0,0,4,Detective Comics #604; Detective Comics #605; Detective Comics #606; Detective Comics #607
The Penguin Affair,2,0,0,2,Batman #448; Batman #449
The Set-Up Caper,1,0,0,1,Detective Comics #454
To The Father I Never Knew...,1,0,0,1,Batman #480
Toyman,4,0,0,4,Batman Toyman 01; Batman Toyman 02; Batman Toyman 03; Batman Toyman 04
Turning Points,5,0,0,5,Batman - Turning Points #01; Batman - Turning Points #02; Batman - Turning Points #03; Batman - Turning Points #04; Batman - Turning Points #05
Two-Face,2,0,0,2,Batman #527; Batman #528
Untold Legend,3,0,0,3,The Untold Legend Of the Batman #1; The Untold Legend Of the Batman #2; The Untold Legend Of the Batman #3
Venom,5,0,0,5,Batman: Legends of the Dark Knight #16; Batman: Legends of the Dark Knight #17; Batman: Legends of the Dark Knight #18; Batman: Legends of the Dark Knight #19; Batman: Legends of the Dark Knight #20
Watchtower,1,0,0,1,Batman: Legends of the Dark Knight #57
When In Rome,6,0,0,6,Catwoman: When In Rome #01; Catwoman: When In Rome #02; Catwoman: When In Rome #03; Catwoman: When In Rome #04; Catwoman: When In Rome #05
Year One,9,0,0,5,Batman #404; Batman #405; Batman #406; Batman #407; Batman: Shadow of the Bat - Annual 3: Year One
Year Three,4,0,0,4,Batman #436; Batman #437; Batman #438; Batman #439
Year Two,1,7,0,1,Catwoman (Vol.2) #39
Zero Hour,13,2,0,13,Batman #000; Batman #511; Batman: Shadow of the Bat #31; Catwoman (Vol.2) #00; Catwoman (Vol.2) #14
Zeus,2,0,0,2,Batman #481; Batman #482
