sequence,publication_year,cover_date,parent_series,series,issue_number,publication_id,known_in_reference_data,owned,ownership_status,edition_status,original_owned,facsimile_owned,owned_uncertain,readable_copy_count,ordered_not_arrived,readable_via_collection,story_event_item_membership,shopping_status,shopping_priority,source_url,confidence,notes
1993.030,1993,1993,Batman: Legends of the Dark Knight,Batman: Legends of the Dark Knight Annual,3,PUB-LOTDK-ANN-0003,Yes,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,Yes,1,No,No,Bloodlines,OWNED,,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,verified,Collection sheet: Batman row 396; Annual publication reference: PUB-LOTDK-ANN-0003
1993.040,1993,1993,Batman: Shadow of the Bat,Batman: Shadow of the Bat Annual,1,PUB-SOTB-ANN-0001,Yes,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,Yes,1,No,No,Bloodlines,OWNED,,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,verified,Collection sheet: Batman row 398; Annual publication reference: PUB-SOTB-ANN-0001
1993.050,1993,1993,Robin,Robin (Vol. 2) Annual,2,PUB-ROBIN-V2-ANN-0002,Yes,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,Yes,1,No,No,Bloodlines,OWNED,,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,verified,Collection sheet: Batman row 621; Annual publication reference: PUB-ROBIN-V2-ANN-0002
1994.010,1994,1994,Batman,Batman Annual,18,PUB-BAT-ANN-0018,Yes,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,Yes,1,No,No,Elseworlds Annual,OWNED,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Collection sheet: Batman row 328; Annual publication reference: PUB-BAT-ANN-0018
1994.020,1994,1994,Detective Comics,Detective Comics Annual,7,PUB-DET-ANN-0007,Yes,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,Yes,1,No,No,Elseworlds Annual,OWNED,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Collection sheet: Batman row 588; Annual publication reference: PUB-DET-ANN-0007
1994.030,1994,1994,Batman: Legends of the Dark Knight,Batman: Legends of the Dark Knight Annual,4,PUB-LOTDK-ANN-0004,Yes,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,0,No,No,Elseworlds Annual,BUY,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Annual publication reference: PUB-LOTDK-ANN-0004
1994.040,1994,1994,Batman: Shadow of the Bat,Batman: Shadow of the Bat Annual,2,PUB-SOTB-ANN-0002,Yes,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,0,No,No,Elseworlds Annual,BUY,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Annual publication reference: PUB-SOTB-ANN-0002
1994.050,1994,1994,Robin,Robin (Vol. 2) Annual,3,PUB-ROBIN-V2-ANN-0003,Yes,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,0,No,No,Elseworlds Annual,BUY,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Annual publication reference: PUB-ROBIN-V2-ANN-0003
1994.060,1994,1994,Catwoman,Catwoman (Vol.2) Annual,1,PUB-CATWOMAN-V2-ANN-0001,Yes,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,Yes,1,No,No,Elseworlds Annual,OWNED,,https://en.wikipedia.org/wiki/Catwoman,verified,Collection sheet: Batman row 411; Annual publication reference: PUB-CATWOMAN-V2-ANN-0001
1995.010,1995,1995,Batman,Batman Annual,19,PUB-BAT-ANN-0019,Yes,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,0,No,No,Year One annuals,BUY,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Annual publication reference: PUB-BAT-ANN-0019
