candidate_cluster_id,series,issue_start,issue_end,owned_issue_count,ordered_issue_count,story_names,story_arcs,events,existing_item_ids,sample_issues,candidate_reason,notes
richard_dragon_10_13,Richard Dragon,10,13,4,0,,,,,Richard Dragon #10; Richard Dragon #11; Richard Dragon #12; Richard Dragon #13,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
richard_dragon_15_17,Richard Dragon,15,17,3,0,,,,,Richard Dragon #15; Richard Dragon #16; Richard Dragon #17,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
robin_vol_2_0_2,Robin (Vol. 2),0,2,3,0,Knightquest; Knightsend,Knightquest; Knightsend,,knightquest; knightsend; prodigal,Robin (Vol. 2) #0; Robin (Vol. 2) #1; Robin (Vol. 2) #2,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
robin_vol_2_7_18,Robin (Vol. 2),7,18,12,0,Knightquest; Knightsend; Zero Hour,Knightquest; Knightsend; Zero Hour,,knightquest; knightsend; prodigal; troika; zero_hour,Robin (Vol. 2) #7; Robin (Vol. 2) #8; Robin (Vol. 2) #9; Robin (Vol. 2) #10; Robin (Vol. 2) #11; Robin (Vol. 2) #12; Robin (Vol. 2) #13; Robin (Vol. 2) #14; Robin (Vol. 2) #15; Robin (Vol. 2) #16; Robin (Vol. 2) #17; Robin (Vol. 2) #18,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
robin_1991_1_5,Robin (1991),1,5,5,0,Robin Reborn,Robin Reborn,,robin_reborn,Robin (1991) #1; Robin (1991) #2; Robin (1991) #3; Robin (1991) #4; Robin (1991) #5,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
robin_ii_1_4,Robin II,1,4,4,0,Joker's Wild,Joker's Wild,,jokers_wild; robin_jokers_wild,Robin II #1; Robin II #2; Robin II #3; Robin II #4,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
robin_iii_1_6,Robin III,1,6,6,0,Cry of The Huntress,Cry of The Huntress,,cry_of_the_huntress; robin_cry_of_the_huntress,Robin III #1; Robin III #2; Robin III #3; Robin III #4; Robin III #5; Robin III #6,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
showcase_93_1_4,Showcase ’93,1,4,4,0,,,,,Showcase ’93 #1; Showcase ’93 #2; Showcase ’93 #3; Showcase ’93 #4,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
showcase_93_7_12,Showcase ’93,7,12,6,0,Knightfall,Knightfall,,knightfall,Showcase ’93 #7; Showcase ’93 #8; Showcase ’93 #9; Showcase ’93 #10; Showcase ’93 #11; Showcase ’93 #12,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
superman_year_one_1_3,Superman Year One,1,3,3,0,Year One,Year One,,year_one_needs_review,Superman Year One #1; Superman Year One #2; Superman Year One #3,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
sword_of_azrael_1_4,Sword of Azrael,1,4,4,0,Sword of Azrael,Sword of Azrael,,sword_of_azrael,Sword of Azrael #1; Sword of Azrael #2; Sword of Azrael #3; Sword of Azrael #4,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
the_dark_knight_returns_ii_strikes_again_1_3,The Dark Knight Returns II - Strikes Again,1,3,3,0,Dark Knight Returns,Dark Knight Returns,,,The Dark Knight Returns II - Strikes Again #1; The Dark Knight Returns II - Strikes Again #2; The Dark Knight Returns II - Strikes Again #3,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
the_dark_knight_returns_iii_master_race_1_10,The Dark Knight Returns III - Master Race,1,10,10,0,Dark Knight Returns,Dark Knight Returns,,,The Dark Knight Returns III - Master Race #1; The Dark Knight Returns III - Master Race #2; The Dark Knight Returns III - Master Race #3; The Dark Knight Returns III - Master Race #4; The Dark Knight Returns III - Master Race #5; The Dark Knight Returns III - Master Race #6; The Dark Knight Returns III - Master Race #7; The Dark Knight Returns III - Master Race #8; The Dark Knight Returns III - Master Race #9; The Dark Knight Returns III - Master Race #10,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
the_untold_legend_of_the_batman_1_3,The Untold Legend Of the Batman,1,3,3,0,Untold Legend,Untold Legend,,bronze_age_specials_miniseries; untold_legend,The Untold Legend Of the Batman #1; The Untold Legend Of the Batman #2; The Untold Legend Of the Batman #3,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
villains_united_1_6,Villains United,1,6,6,0,Countdown to Infinite Crisis,Countdown to Infinite Crisis,,villains_united,Villains United #1; Villains United #2; Villains United #3; Villains United #4; Villains United #5; Villains United #6,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
warhammer_monthly_0_41,Warhammer Monthly,0,41,42,0,,,,,Warhammer Monthly #0; Warhammer Monthly #1; Warhammer Monthly #2; Warhammer Monthly #3; Warhammer Monthly #4; Warhammer Monthly #5; Warhammer Monthly #6; Warhammer Monthly #7; Warhammer Monthly #8; Warhammer Monthly #9; Warhammer Monthly #10; Warhammer Monthly #11,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
warhammer_monthly_43_49,Warhammer Monthly,43,49,7,0,,,,,Warhammer Monthly #43; Warhammer Monthly #44; Warhammer Monthly #45; Warhammer Monthly #46; Warhammer Monthly #47; Warhammer Monthly #48; Warhammer Monthly #49,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
zero_hour_crisis_in_time_0_4,Zero Hour: Crisis in Time,0,4,5,0,Zero Hour,Zero Hour,,zero_hour,Zero Hour: Crisis in Time #0; Zero Hour: Crisis in Time #1; Zero Hour: Crisis in Time #2; Zero Hour: Crisis in Time #3; Zero Hour: Crisis in Time #4,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
