title,run_id,issue_number,run_status,collection_status,format,story,metadata_arc,story_title,part_label,metadata_role,metadata_notes,metadata_source_url,metadata_status,metadata_source,reading_order,source_tab,source_row,comic,notes
Batman,batman_404_574,438,owned,Yes,Original/Reprint Unknown,Year Three,Year Three,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,ZZ,Batman,247,Batman #438,
Batman,batman_404_574,439,owned,Yes,Original/Reprint Unknown,Year Three,Year Three,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,ZZ,Batman,248,Batman #439,
Batman,batman_404_574,440,not_owned,No,Original/Reprint Unknown,A Lonely Place of Dying,A Lonely Place of Dying,,Part 1,core,Crossover continues in The New Titans #60-61 and Batman #441-442.,https://en.wikipedia.org/wiki/List_of_Batman_comics,confirmed,issue_metadata.csv,ZZ,Batman,249,Batman #440,
Batman,batman_404_574,441,owned,Yes,Original/Reprint Unknown,A Lonely Place of Dying,A Lonely Place of Dying,,Part 2,core,Crossover continues in The New Titans #60-61 and Batman #440-442.,https://en.wikipedia.org/wiki/List_of_Batman_comics,confirmed,issue_metadata.csv,ZZ,Batman,250,Batman #441,
Batman,batman_404_574,442,not_owned,No,Original/Reprint Unknown,A Lonely Place of Dying,A Lonely Place of Dying,,Part 3,core,Crossover continues in The New Titans #60-61 and Batman #440-442.,https://en.wikipedia.org/wiki/List_of_Batman_comics,confirmed,issue_metadata.csv,ZZ,Batman,251,Batman #442,
Batman,batman_404_574,443,owned,Yes,Original/Reprint Unknown,Crimesmith,Crimesmith,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,ZZ,Batman,252,Batman #443,
Batman,batman_404_574,444,absent_from_sheet,,,,,,,,,,,,,,,,
Batman,batman_404_574,445,absent_from_sheet,,,,,,,,,,,,,,,,
Batman,batman_404_574,446,owned,Yes,Original/Reprint Unknown,TBC,,,,,,,,,ZZ,Batman,253,Batman #446,
Batman,batman_404_574,447,owned,Yes,Original/Reprint Unknown,TBC,,,,,,,,,ZZ,Batman,254,Batman #447,
Batman,batman_404_574,448,owned,Yes,Original/Reprint Unknown,The Penguin Affair,The Penguin Affair,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,ZZ,Batman,255,Batman #448,
Batman,batman_404_574,449,owned,Yes,Original/Reprint Unknown,The Penguin Affair,The Penguin Affair,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,ZZ,Batman,256,Batman #449,
Batman,batman_404_574,450,absent_from_sheet,,,,,,,,,,,,,,,,
Batman,batman_404_574,451,absent_from_sheet,,,,,,,,,,,,,,,,
Batman,batman_404_574,452,owned,Yes,Original/Reprint Unknown,"Dark Knight, Dark City","Dark Knight, Dark City",,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,ZZ,Batman,257,Batman #452,
Batman,batman_404_574,453,absent_from_sheet,,,,,,,,,,,,,,,,
Batman,batman_404_574,454,absent_from_sheet,,,,,,,,,,,,,,,,
Batman,batman_404_574,455,owned,Yes,Original/Reprint Unknown,Robin Reborn,Robin Reborn,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,Knight010,Batman,30,Batman #455,
Batman,batman_404_574,456,owned,Yes,Original/Reprint Unknown,Robin Reborn,Robin Reborn,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,Knight011,Batman,31,Batman #456,
Batman,batman_404_574,457,owned,Yes,Original/Reprint Unknown,Robin Reborn,Robin Reborn,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,Knight012,Batman,32,Batman #457,
Batman,batman_404_574,458,owned,Yes,Original/Reprint Unknown,TBC,,,,,,,,,ZZ,Batman,258,Batman #458,
Batman,batman_404_574,459,owned,Yes,Original/Reprint Unknown,TBC,,,,,,,,,ZZ,Batman,259,Batman #459,
Batman,batman_404_574,460,owned,Yes,Original/Reprint Unknown,TBC,,,,,,,,,ZZ,Batman,260,Batman #460,
Batman,batman_404_574,461,owned,Yes,Original/Reprint Unknown,TBC,,,,,,,,,ZZ,Batman,261,Batman #461,
Batman,batman_404_574,462,owned,Yes,Original/Reprint Unknown,TBC,,,,,,,,,ZZ,Batman,262,Batman #462,
Batman,batman_404_574,463,absent_from_sheet,,,,,,,,,,,,,,,,
Batman,batman_404_574,464,owned,Yes,Original/Reprint Unknown,TBC,,,,,,,,,ZZ,Batman,263,Batman #464,
Batman,batman_404_574,465,absent_from_sheet,,,,,,,,,,,,,,,,
Batman,batman_404_574,466,owned,Yes,Original/Reprint Unknown,TBC,,,,,,,,,ZZ,Batman,264,Batman #466,
Batman,batman_404_574,467,owned,Yes,Original/Reprint Unknown,TBC,,,,,,,,,ZZ,Batman,265,Batman #467,
Batman,batman_404_574,468,owned,Yes,Original/Reprint Unknown,TBC,,,,,,,,,ZZ,Batman,266,Batman #468,
Batman,batman_404_574,469,owned,Yes,Original/Reprint Unknown,TBC,,,,,,,,,ZZ,Batman,267,Batman #469,
Batman,batman_404_574,470,owned,Yes,Original/Reprint Unknown,TBC,,,,,,,,,ZZ,Batman,268,Batman #470,
Batman,batman_404_574,471,owned,Yes,Original/Reprint Unknown,TBC,,,,,,,,,ZZ,Batman,269,Batman #471,
Batman,batman_404_574,472,owned,Yes,Original/Reprint Unknown,TBC,,,,,,,,,ZZ,Batman,270,Batman #472,
Batman,batman_404_574,473,owned,Yes,Original/Reprint Unknown,TBC,,,,,,,,,ZZ,Batman,271,Batman #473,
Batman,batman_404_574,474,owned,Yes,Original/Reprint Unknown,TBC,,,,,,,,,ZZ,Batman,272,Batman #474,
Batman,batman_404_574,475,absent_from_sheet,,,,,,,,,,,,,,,,
Batman,batman_404_574,476,owned,Yes,Original/Reprint Unknown,TBC,,,,,,,,,ZZ,Batman,273,Batman #476,
