title,run_id,issue_number,run_status,collection_status,story,comic
Detective Comics,detective_568_741,626,owned,Yes,TBC,Detective Comics #626
Detective Comics,detective_568_741,627,owned,Yes,TBC,Detective Comics #627
Detective Comics,detective_568_741,628,owned,Yes,TBC,Detective Comics #628
Detective Comics,detective_568_741,629,owned,Yes,TBC,Detective Comics #629
Detective Comics,detective_568_741,630,absent_from_sheet,,,
Detective Comics,detective_568_741,631,owned,Yes,TBC,Detective Comics #631
Detective Comics,detective_568_741,632,absent_from_sheet,,,
Detective Comics,detective_568_741,633,owned,Yes,TBC,Detective Comics #633
Detective Comics,detective_568_741,634,owned,Yes,TBC,Detective Comics #634
Detective Comics,detective_568_741,635,owned,Yes,TBC,Detective Comics #635
Detective Comics,detective_568_741,636,owned,Yes,TBC,Detective Comics #636
Detective Comics,detective_568_741,637,owned,Yes,TBC,Detective Comics #637
Detective Comics,detective_568_741,638,owned,Yes,TBC,Detective Comics #638
Detective Comics,detective_568_741,639,absent_from_sheet,,,
Detective Comics,detective_568_741,640,owned,Yes,TBC,Detective Comics #640
Detective Comics,detective_568_741,641,absent_from_sheet,,,
Detective Comics,detective_568_741,642,owned,Yes,TBC,Detective Comics #642
Detective Comics,detective_568_741,643,owned,Yes,TBC,Detective Comics #643
Detective Comics,detective_568_741,644,owned,Yes,TBC,Detective Comics #644
Detective Comics,detective_568_741,645,owned,Yes,TBC,Detective Comics #645
Detective Comics,detective_568_741,646,owned,Yes,TBC,Detective Comics #646
Detective Comics,detective_568_741,647,absent_from_sheet,,,
Detective Comics,detective_568_741,648,absent_from_sheet,,,
Detective Comics,detective_568_741,649,owned,Yes,TBC,Detective Comics #649
Detective Comics,detective_568_741,650,owned,Yes,TBC,Detective Comics #650
Detective Comics,detective_568_741,651,owned,Yes,TBC,Detective Comics #651
Detective Comics,detective_568_741,652,owned,Yes,TBC,Detective Comics #652
Detective Comics,detective_568_741,653,owned,Yes,TBC,Detective Comics #653
Detective Comics,detective_568_741,683,owned,Yes,TBC,Detective Comics #683
Detective Comics,detective_568_741,684,owned,Yes,TBC,Detective Comics #684
Detective Comics,detective_568_741,685,owned,Yes,TBC,Detective Comics #685
Detective Comics,detective_568_741,686,owned,Yes,TBC,Detective Comics #686
Detective Comics,detective_568_741,687,owned,Yes,TBC,Detective Comics #687
Detective Comics,detective_568_741,688,owned,Yes,TBC,Detective Comics #688
Detective Comics,detective_568_741,689,owned,Yes,TBC,Detective Comics #689
Detective Comics,detective_568_741,690,owned,Yes,TBC,Detective Comics #690
Detective Comics,detective_568_741,691,absent_from_sheet,,,
Detective Comics,detective_568_741,692,absent_from_sheet,,,
Detective Comics,detective_568_741,693,owned,Yes,TBC,Detective Comics #693
Detective Comics,detective_568_741,694,owned,Yes,TBC,Detective Comics #694
Detective Comics,detective_568_741,697,absent_from_sheet,,,
Detective Comics,detective_568_741,698,absent_from_sheet,,,
Detective Comics,detective_568_741,699,absent_from_sheet,,,
Detective Comics,detective_568_741,703,absent_from_sheet,,,
Detective Comics,detective_568_741,704,absent_from_sheet,,,
Detective Comics,detective_568_741,705,absent_from_sheet,,,
Detective Comics,detective_568_741,706,absent_from_sheet,,,
Detective Comics,detective_568_741,707,absent_from_sheet,,,
Detective Comics,detective_568_741,708,absent_from_sheet,,,
Detective Comics,detective_568_741,709,absent_from_sheet,,,
Detective Comics,detective_568_741,710,absent_from_sheet,,,
Detective Comics,detective_568_741,711,absent_from_sheet,,,
Detective Comics,detective_568_741,712,absent_from_sheet,,,
Detective Comics,detective_568_741,713,absent_from_sheet,,,
Detective Comics,detective_568_741,714,absent_from_sheet,,,
Detective Comics,detective_568_741,715,absent_from_sheet,,,
Detective Comics,detective_568_741,716,absent_from_sheet,,,
Detective Comics,detective_568_741,717,absent_from_sheet,,,
Detective Comics,detective_568_741,718,absent_from_sheet,,,
Detective Comics,detective_568_741,723,absent_from_sheet,,,
Warhammer Monthly,warhammer_monthly_0_86,0,owned,Yes,,Warhammer Monthly #00
Warhammer Monthly,warhammer_monthly_0_86,1,owned,Yes,,Warhammer Monthly #01
Warhammer Monthly,warhammer_monthly_0_86,2,owned,Yes,,Warhammer Monthly #02
Warhammer Monthly,warhammer_monthly_0_86,3,owned,Yes,,Warhammer Monthly #03
Warhammer Monthly,warhammer_monthly_0_86,4,owned,Yes,,Warhammer Monthly #04
Warhammer Monthly,warhammer_monthly_0_86,5,owned,Yes,,Warhammer Monthly #05
Warhammer Monthly,warhammer_monthly_0_86,6,owned,Yes,,Warhammer Monthly #06
Warhammer Monthly,warhammer_monthly_0_86,7,owned,Yes,,Warhammer Monthly #07
Warhammer Monthly,warhammer_monthly_0_86,8,owned,Yes,,Warhammer Monthly #08
Warhammer Monthly,warhammer_monthly_0_86,9,owned,Yes,,Warhammer Monthly #09
Warhammer Monthly,warhammer_monthly_0_86,10,owned,Yes,,Warhammer Monthly #10
Warhammer Monthly,warhammer_monthly_0_86,11,owned,Yes,,Warhammer Monthly #11
Warhammer Monthly,warhammer_monthly_0_86,12,owned,Yes,,Warhammer Monthly #12
Warhammer Monthly,warhammer_monthly_0_86,13,owned,Yes,,Warhammer Monthly #13
Warhammer Monthly,warhammer_monthly_0_86,14,owned,Yes,,Warhammer Monthly #14
Warhammer Monthly,warhammer_monthly_0_86,15,owned,Yes,,Warhammer Monthly #15
Warhammer Monthly,warhammer_monthly_0_86,16,owned,Yes,,Warhammer Monthly #16
Warhammer Monthly,warhammer_monthly_0_86,17,owned,Yes,,Warhammer Monthly #17
Warhammer Monthly,warhammer_monthly_0_86,18,owned,Yes,,Warhammer Monthly #18
Warhammer Monthly,warhammer_monthly_0_86,19,owned,Yes,,Warhammer Monthly #19
Warhammer Monthly,warhammer_monthly_0_86,20,owned,Yes,,Warhammer Monthly #20
Warhammer Monthly,warhammer_monthly_0_86,21,owned,Yes,,Warhammer Monthly #21
Warhammer Monthly,warhammer_monthly_0_86,22,owned,Yes,,Warhammer Monthly #22
Warhammer Monthly,warhammer_monthly_0_86,23,owned,Yes,,Warhammer Monthly #23
