focus_id,focus_name,source_file,reading_order,series,issue_number,display_name,role,priority,collecting_status,ownership_status,owned_in_sheet_count,matched_collection_rows,owned_original_issue_count,owned_facsimile_count,ordered_not_arrived_count,readable_copy_count,still_want_original,source_url,notes
zero_hour,Zero Hour,event_checklists.csv,035,Justice League International (vol. 2),68,Justice League International (vol. 2) #68,tie_in,optional,review,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,Wider DC tie-in.
zero_hour,Zero Hour,event_checklists.csv,036,Justice League Task Force,16,Justice League Task Force #16,tie_in,optional,review,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,Wider DC tie-in.
zero_hour,Zero Hour,event_checklists.csv,037,L.E.G.I.O.N. '94,70,L.E.G.I.O.N. '94 #70,tie_in,optional,review,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,Wider DC tie-in.
zero_hour,Zero Hour,event_checklists.csv,038,Legion of Super-Heroes (vol. 4),61,Legion of Super-Heroes (vol. 4) #61,tie_in,optional,review,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,Wider DC tie-in.
zero_hour,Zero Hour,event_checklists.csv,039,Legionnaires,18,Legionnaires #18,tie_in,optional,review,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,Wider DC tie-in.
zero_hour,Zero Hour,event_checklists.csv,040,Outsiders (vol. 2),11,Outsiders (vol. 2) #11,tie_in,optional,review,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,Wider DC tie-in.
zero_hour,Zero Hour,event_checklists.csv,041,Robin (vol. 4),10,Robin (vol. 4) #10,tie_in,local,collect,owned_in_sheet,1,Batman row 623: Robin (Vol. 2) #010,0,0,0,0,Review,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,local tie-in.
zero_hour,Zero Hour,event_checklists.csv,042,Steel (vol. 2),8,Steel (vol. 2) #8,tie_in,optional,review,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,Wider DC tie-in.
zero_hour,Zero Hour,event_checklists.csv,043,Superboy (vol. 3),8,Superboy (vol. 3) #8,tie_in,optional,review,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,Wider DC tie-in.
zero_hour,Zero Hour,event_checklists.csv,044,Superman (vol. 2),93,Superman (vol. 2) #93,tie_in,optional,review,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,Wider DC tie-in.
zero_hour,Zero Hour,event_checklists.csv,045,Superman: The Man of Steel,37,Superman: The Man of Steel #37,tie_in,optional,review,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,Wider DC tie-in.
zero_hour,Zero Hour,event_checklists.csv,046,Team Titans,24,Team Titans #24,tie_in,optional,review,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,Wider DC tie-in.
zero_hour,Zero Hour,event_checklists.csv,047,Valor,23,Valor #23,tie_in,optional,review,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,Wider DC tie-in.
