report_id,display_name,item_type,series,issue_number,publication_id,display_title,owned,ordered,ownership_status,run_status,story_or_arc,shopping_status,shopping_priority,source,notes
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,21,,Batman: Legends of the Dark Knight #21,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,28,,Batman: Legends of the Dark Knight #28,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,29,,Batman: Legends of the Dark Knight #29,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,30,,Batman: Legends of the Dark Knight #30,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,31,,Batman: Legends of the Dark Knight #31,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,32,,Batman: Legends of the Dark Knight #32,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,33,,Batman: Legends of the Dark Knight #33,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,34,,Batman: Legends of the Dark Knight #34,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,35,,Batman: Legends of the Dark Knight #35,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,36,,Batman: Legends of the Dark Knight #36,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,39,,Batman: Legends of the Dark Knight #39,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,40,,Batman: Legends of the Dark Knight #40,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,41,,Batman: Legends of the Dark Knight #41,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,42,,Batman: Legends of the Dark Knight #42,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,43,,Batman: Legends of the Dark Knight #43,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,44,,Batman: Legends of the Dark Knight #44,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,45,,Batman: Legends of the Dark Knight #45,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,46,,Batman: Legends of the Dark Knight #46,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,47,,Batman: Legends of the Dark Knight #47,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,48,,Batman: Legends of the Dark Knight #48,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,49,,Batman: Legends of the Dark Knight #49,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,50,,Batman: Legends of the Dark Knight #50,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,51,,Batman: Legends of the Dark Knight #51,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,52,,Batman: Legends of the Dark Knight #52,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,53,,Batman: Legends of the Dark Knight #53,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,54,,Batman: Legends of the Dark Knight #54,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,55,,Batman: Legends of the Dark Knight #55,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,56,,Batman: Legends of the Dark Knight #56,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,68,,Batman: Legends of the Dark Knight #68,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,69,,Batman: Legends of the Dark Knight #69,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,70,,Batman: Legends of the Dark Knight #70,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
