event_id,event_name,reading_order,sequence,series,issue_number,role,priority,collecting_status,owned,ordered,owned_format,readable_via_collection,missing,optional_or_required,ownership_status,shopping_status,shopping_priority,matched_collection_rows,source_url,confidence,notes
zero_hour,Zero Hour: Crisis in Time,030,030,Green Arrow (vol. 2),90,tie_in,optional,review,No,No,NO CONFIRMED FACSIMILE,No,Yes,optional,MISSING,BUY,,Wider DC tie-in.,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,reference,Wider DC tie-in.
zero_hour,Zero Hour: Crisis in Time,031,031,Green Lantern (vol. 3),55,tie_in,optional,review,No,No,NO CONFIRMED FACSIMILE,No,Yes,optional,MISSING,BUY,,Wider DC tie-in.,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,reference,Wider DC tie-in.
zero_hour,Zero Hour: Crisis in Time,032,032,Guy Gardner: Warrior,24,tie_in,optional,review,No,No,NO CONFIRMED FACSIMILE,No,Yes,optional,MISSING,BUY,,Wider DC tie-in.,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,reference,Wider DC tie-in.
zero_hour,Zero Hour: Crisis in Time,033,033,Hawkman (vol. 3),13,tie_in,optional,review,No,No,NO CONFIRMED FACSIMILE,No,Yes,optional,MISSING,BUY,,Wider DC tie-in.,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,reference,Wider DC tie-in.
zero_hour,Zero Hour: Crisis in Time,034,034,Justice League America,92,tie_in,optional,review,No,No,NO CONFIRMED FACSIMILE,No,Yes,optional,MISSING,BUY,,Wider DC tie-in.,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,reference,Wider DC tie-in.
zero_hour,Zero Hour: Crisis in Time,035,035,Justice League International (vol. 2),68,tie_in,optional,review,No,No,NO CONFIRMED FACSIMILE,No,Yes,optional,MISSING,BUY,,Wider DC tie-in.,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,reference,Wider DC tie-in.
zero_hour,Zero Hour: Crisis in Time,036,036,Justice League Task Force,16,tie_in,optional,review,No,No,NO CONFIRMED FACSIMILE,No,Yes,optional,MISSING,BUY,,Wider DC tie-in.,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,reference,Wider DC tie-in.
zero_hour,Zero Hour: Crisis in Time,037,037,L.E.G.I.O.N. '94,70,tie_in,optional,review,No,No,NO CONFIRMED FACSIMILE,No,Yes,optional,MISSING,BUY,,Wider DC tie-in.,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,reference,Wider DC tie-in.
zero_hour,Zero Hour: Crisis in Time,038,038,Legion of Super-Heroes (vol. 4),61,tie_in,optional,review,No,No,NO CONFIRMED FACSIMILE,No,Yes,optional,MISSING,BUY,,Wider DC tie-in.,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,reference,Wider DC tie-in.
zero_hour,Zero Hour: Crisis in Time,039,039,Legionnaires,18,tie_in,optional,review,No,No,NO CONFIRMED FACSIMILE,No,Yes,optional,MISSING,BUY,,Wider DC tie-in.,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,reference,Wider DC tie-in.
zero_hour,Zero Hour: Crisis in Time,040,040,Outsiders (vol. 2),11,tie_in,optional,review,No,No,NO CONFIRMED FACSIMILE,No,Yes,optional,MISSING,BUY,,Wider DC tie-in.,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,reference,Wider DC tie-in.
zero_hour,Zero Hour: Crisis in Time,041,041,Robin (vol. 4),10,tie_in,gotham,collect,No,No,,No,Yes,gotham,MISSING,,,,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,reference,Gotham tie-in.
zero_hour,Zero Hour: Crisis in Time,042,042,Steel (vol. 2),8,tie_in,optional,review,No,No,NO CONFIRMED FACSIMILE,No,Yes,optional,MISSING,BUY,,Wider DC tie-in.,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,reference,Wider DC tie-in.
zero_hour,Zero Hour: Crisis in Time,043,043,Superboy (vol. 3),8,tie_in,optional,review,No,No,NO CONFIRMED FACSIMILE,No,Yes,optional,MISSING,BUY,,Wider DC tie-in.,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,reference,Wider DC tie-in.
zero_hour,Zero Hour: Crisis in Time,044,044,Superman (vol. 2),93,tie_in,optional,review,No,No,NO CONFIRMED FACSIMILE,No,Yes,optional,MISSING,BUY,,Wider DC tie-in.,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,reference,Wider DC tie-in.
zero_hour,Zero Hour: Crisis in Time,045,045,Superman: The Man of Steel,37,tie_in,optional,review,No,No,NO CONFIRMED FACSIMILE,No,Yes,optional,MISSING,BUY,,Wider DC tie-in.,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,reference,Wider DC tie-in.
zero_hour,Zero Hour: Crisis in Time,046,046,Team Titans,24,tie_in,optional,review,No,No,NO CONFIRMED FACSIMILE,No,Yes,optional,MISSING,BUY,,Wider DC tie-in.,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,reference,Wider DC tie-in.
zero_hour,Zero Hour: Crisis in Time,047,047,Valor,23,tie_in,optional,review,No,No,NO CONFIRMED FACSIMILE,No,Yes,optional,MISSING,BUY,,Wider DC tie-in.,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,reference,Wider DC tie-in.
