view_id,view_name,publication_id,display_title,series,issue_number,story_or_arc,scope,ownership_status,cover_status,has_source_url,image_source_url,local_image_path,research_priority,notes
legends_of_the_dark_knight,Batman: Legends of the Dark Knight,VIEW-batman-legends-of-the-dark-knight-57,Batman: Legends of the Dark Knight #57,Batman: Legends of the Dark Knight,57,Watchtower,legends_dark_knight_1_214,Original,not_in_manifest,No,,,1 owned_missing_source,
legends_of_the_dark_knight,Batman: Legends of the Dark Knight,VIEW-batman-legends-of-the-dark-knight-58,Batman: Legends of the Dark Knight #58,Batman: Legends of the Dark Knight,58,Storm,legends_dark_knight_1_214,Original,not_in_manifest,No,,,1 owned_missing_source,
legends_of_the_dark_knight,Batman: Legends of the Dark Knight,VIEW-batman-legends-of-the-dark-knight-6,Batman: Legends of the Dark Knight #6,Batman: Legends of the Dark Knight,6,Gothic,legends_dark_knight_1_214,Original,not_in_manifest,No,,,1 owned_missing_source,
legends_of_the_dark_knight,Batman: Legends of the Dark Knight,VIEW-batman-legends-of-the-dark-knight-64,Batman: Legends of the Dark Knight #64,Batman: Legends of the Dark Knight,64,Terminus,legends_dark_knight_1_214,Original,not_in_manifest,No,,,1 owned_missing_source,
legends_of_the_dark_knight,Batman: Legends of the Dark Knight,VIEW-batman-legends-of-the-dark-knight-65,Batman: Legends of the Dark Knight #65,Batman: Legends of the Dark Knight,65,Going Sane,legends_dark_knight_1_214,Original,not_in_manifest,No,,,1 owned_missing_source,
legends_of_the_dark_knight,Batman: Legends of the Dark Knight,VIEW-batman-legends-of-the-dark-knight-66,Batman: Legends of the Dark Knight #66,Batman: Legends of the Dark Knight,66,Going Sane,legends_dark_knight_1_214,Original,not_in_manifest,No,,,1 owned_missing_source,
legends_of_the_dark_knight,Batman: Legends of the Dark Knight,VIEW-batman-legends-of-the-dark-knight-67,Batman: Legends of the Dark Knight #67,Batman: Legends of the Dark Knight,67,Going Sane,legends_dark_knight_1_214,Original,not_in_manifest,No,,,1 owned_missing_source,
legends_of_the_dark_knight,Batman: Legends of the Dark Knight,VIEW-batman-legends-of-the-dark-knight-7,Batman: Legends of the Dark Knight #7,Batman: Legends of the Dark Knight,7,Gothic,legends_dark_knight_1_214,Original,not_in_manifest,No,,,1 owned_missing_source,
legends_of_the_dark_knight,Batman: Legends of the Dark Knight,VIEW-batman-legends-of-the-dark-knight-79,Batman: Legends of the Dark Knight #79,Batman: Legends of the Dark Knight,79,Favorite Things,legends_dark_knight_1_214,Original,not_in_manifest,No,,,1 owned_missing_source,
legends_of_the_dark_knight,Batman: Legends of the Dark Knight,VIEW-batman-legends-of-the-dark-knight-8,Batman: Legends of the Dark Knight #8,Batman: Legends of the Dark Knight,8,Gothic,legends_dark_knight_1_214,Original,not_in_manifest,No,,,1 owned_missing_source,
