SpecialID,Series,DisplayName,PublicationType,CollectionArea,MainRunID,CountsInMainRun,Notes
warhammer_monthly_birthday,Warhammer Monthly Free Birthday Special,Warhammer Monthly Free Birthday Special #01,promo_issue,warhammer,warhammer_monthly_0_86,No,Owned special tracked separately from Warhammer Monthly #0-86.
warhammer_monthly_deathwing,Deathwing Special Promotional Issue,Deathwing Special Promotional Issue #01,promo_issue,warhammer,warhammer_monthly_0_86,No,Owned promotional special tracked separately from Warhammer Monthly #0-86.
